street,x,project,y,rentalMedian.refPeriod,rentalMedian.psf75,rentalMedian.median,rentalMedian.psf25,rentalMedian.district
CLEMENTI AVENUE 1,20799.79949,THE CLEMENT CANOPY,32104.00245,2020Q1,4.65,4.04,3.7,05
CLEMENTI AVENUE 1,20799.79949,THE CLEMENT CANOPY,32104.00245,2021Q2,4.69,4.24,4.1,05
CLEMENTI AVENUE 1,20799.79949,THE CLEMENT CANOPY,32104.00245,2021Q3,4.65,4.26,4.03,05
CLEMENTI AVENUE 1,20799.79949,THE CLEMENT CANOPY,32104.00245,2021Q4,4.43,4.24,4.05,05
CLEMENTI AVENUE 1,20799.79949,THE CLEMENT CANOPY,32104.00245,2022Q2,5.44,4.99,4.78,05
CLEMENTI AVENUE 1,20799.79949,THE CLEMENT CANOPY,32104.00245,2021Q1,4.57,4.36,4.11,05
CLEMENTI AVENUE 1,20799.79949,THE CLEMENT CANOPY,32104.00245,2020Q4,4.17,3.95,3.69,05
CLEMENTI AVENUE 1,20799.79949,THE CLEMENT CANOPY,32104.00245,2022Q1,4.78,4.57,4.33,05
FARRER ROAD,24826.32085,WATERFALL GARDENS,32652.3377,2019Q4,3.27,3.21,3.01,10
FARRER ROAD,24826.32085,WATERFALL GARDENS,32652.3377,2020Q3,3.42,3.28,3.17,10
FARRER ROAD,24826.32085,WATERFALL GARDENS,32652.3377,2019Q3,3.64,3.51,3.16,10
FARRER ROAD,24826.32085,WATERFALL GARDENS,32652.3377,2021Q3,3.95,3.64,3.17,10
FARRER ROAD,24826.32085,WATERFALL GARDENS,32652.3377,2021Q1,3.48,3.28,3.11,10
FARRER ROAD,24826.32085,WATERFALL GARDENS,32652.3377,2020Q4,3.41,3.19,2.96,10
SHAN ROAD,29427.62797,PINNACLE 16,34091.53142,2019Q3,3.95,3.81,3.54,12
SHAN ROAD,29427.62797,PINNACLE 16,34091.53142,2020Q1,4.06,3.83,3.33,12
SHAN ROAD,29427.62797,PINNACLE 16,34091.53142,2021Q3,4.0,3.96,3.72,12
SHAN ROAD,29427.62797,PINNACLE 16,34091.53142,2022Q1,4.17,3.93,3.83,12
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2020Q3,3.12,2.94,2.69,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2019Q3,3.17,3.01,2.84,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2020Q1,3.26,3.13,2.82,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2019Q4,3.21,3.0,2.78,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2020Q2,3.38,2.94,2.8,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2020Q4,3.14,2.91,2.78,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2021Q4,3.52,3.25,3.04,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2022Q2,3.81,3.62,3.15,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2021Q2,3.2,2.93,2.73,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2021Q3,3.29,3.06,2.86,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2021Q1,3.19,3.06,2.9,19
KOVAN ROAD,33800.41531,KOVAN RESIDENCES,38190.7604,2022Q1,3.42,3.26,3.09,19
LEONIE HILL,27922.47559,LEONIE GARDENS,31213.94635,2019Q3,3.16,2.85,2.73,09
LEONIE HILL,27922.47559,LEONIE GARDENS,31213.94635,2020Q1,2.98,2.82,2.62,09
LEONIE HILL,27922.47559,LEONIE GARDENS,31213.94635,2019Q4,3.03,2.8,2.57,09
LEONIE HILL,27922.47559,LEONIE GARDENS,31213.94635,2021Q2,2.96,2.76,2.6,09
LEONIE HILL,27922.47559,LEONIE GARDENS,31213.94635,2021Q3,3.15,2.79,2.68,09
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2019Q3,3.91,3.72,3.36,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2020Q1,3.9,3.66,3.4,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2019Q4,4.34,4.04,3.6,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2020Q3,3.81,3.56,3.17,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2020Q2,4.65,3.91,3.39,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2020Q4,4.19,3.66,3.54,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2021Q4,4.62,4.11,3.66,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2022Q2,5.73,4.76,4.15,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2021Q2,4.47,4.34,3.79,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2021Q3,4.27,3.7,3.44,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2022Q1,4.44,4.09,3.93,15
JOO CHIAT ROAD,36033.35851,CORALIS,31863.74738,2021Q1,4.24,3.83,3.48,15
OXLEY RISE,29071.13753,HOLLYWOOD APARTMENTS,30981.84949,2020Q3,2.9,2.63,2.37,09
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2020Q2,2.69,2.52,2.32,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2019Q3,3.16,2.49,2.34,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2020Q1,2.77,2.49,2.35,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2020Q3,3.36,2.51,2.38,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2019Q4,2.89,2.48,2.37,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2020Q4,2.79,2.49,2.35,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2021Q3,3.48,2.86,2.52,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2021Q4,3.06,2.66,2.44,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2022Q2,3.46,2.9,2.61,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2021Q2,3.03,2.61,2.47,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2022Q1,3.56,3.06,2.6,19
UPPER SERANGOON CRESCENT,35669.129,RIVERSAILS,40006.05377,2021Q1,2.77,2.54,2.37,19
STEVENS ROAD,27217.31178,LOFT @ STEVENS,33335.94395,2020Q4,5.45,5.04,4.59,10
STEVENS ROAD,27217.31178,LOFT @ STEVENS,33335.94395,2021Q4,5.72,5.42,5.07,10
LORONG LIMAU,30391.5293,PARC HAVEN,34012.1933,2020Q3,3.29,2.87,2.6,12
LORONG LIMAU,30391.5293,PARC HAVEN,34012.1933,2019Q3,3.44,3.11,2.84,12
LORONG LIMAU,30391.5293,PARC HAVEN,34012.1933,2020Q1,3.51,3.02,2.83,12
LORONG LIMAU,30391.5293,PARC HAVEN,34012.1933,2019Q4,4.18,3.59,3.08,12
LORONG LIMAU,30391.5293,PARC HAVEN,34012.1933,2021Q3,3.57,3.34,2.65,12
LORONG LIMAU,30391.5293,PARC HAVEN,34012.1933,2021Q4,4.15,3.18,2.96,12
LORONG LIMAU,30391.5293,PARC HAVEN,34012.1933,2021Q1,3.61,3.1,2.82,12
LORONG LIMAU,30391.5293,PARC HAVEN,34012.1933,2022Q1,4.03,3.12,2.95,12
MANDALAY ROAD,29725.55069,M21,33857.25864,2019Q4,3.48,3.26,3.18,11
LORONG 30 GEYLANG,33908.56045,IDYLLIC SUITES,32799.42485,2019Q3,4.18,4.08,3.81,14
LORONG 30 GEYLANG,33908.56045,IDYLLIC SUITES,32799.42485,2020Q1,4.18,3.89,3.76,14
LORONG 30 GEYLANG,33908.56045,IDYLLIC SUITES,32799.42485,2021Q3,4.41,4.08,3.95,14
LORONG 30 GEYLANG,33908.56045,IDYLLIC SUITES,32799.42485,2021Q1,4.12,3.97,3.73,14
MARGATE ROAD,34169.92989,8M RESIDENCES,31299.57676,2019Q3,4.65,3.86,3.19,15
MARGATE ROAD,34169.92989,8M RESIDENCES,31299.57676,2021Q1,4.43,4.08,3.7,15
UPPER PAYA LEBAR ROAD,33198.59269,THE VUE,36554.61109,2019Q3,3.82,3.81,3.03,19
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2019Q3,2.74,2.58,2.45,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2020Q1,2.6,2.48,2.42,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2019Q4,2.59,2.51,2.35,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2020Q3,2.6,2.48,2.37,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2020Q2,2.61,2.55,2.36,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2020Q4,2.55,2.51,2.38,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2021Q4,2.86,2.63,2.47,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2022Q2,3.33,3.05,2.86,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2021Q2,2.79,2.61,2.48,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2021Q3,2.68,2.51,2.41,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2022Q1,2.94,2.75,2.63,20
ANG MO KIO CENTRAL 3,29527.03908,GRANDEUR 8,39806.14694,2021Q1,2.61,2.45,2.28,20
LORONG 26 GEYLANG,33713.19347,LA FLEUR,32757.46998,2020Q2,4.16,4.03,3.85,14
LORONG 26 GEYLANG,33713.19347,LA FLEUR,32757.46998,2020Q3,4.03,3.95,3.77,14
LORONG 26 GEYLANG,33713.19347,LA FLEUR,32757.46998,2019Q4,4.16,4.03,3.51,14
LORONG 26 GEYLANG,33713.19347,LA FLEUR,32757.46998,2020Q4,4.29,4.03,3.65,14
LORONG 26 GEYLANG,33713.19347,LA FLEUR,32757.46998,2021Q4,4.64,4.29,4.02,14
LORONG 26 GEYLANG,33713.19347,LA FLEUR,32757.46998,2022Q2,5.34,4.88,4.41,14
LORONG 26 GEYLANG,33713.19347,LA FLEUR,32757.46998,2021Q2,4.22,4.05,3.84,14
KIM KEAT ROAD,30180.13629,REGAL COURT,34091.58498,2019Q4,2.54,2.4,2.4,12
KIM SENG WALK,27733.64651,TIARA,30836.64497,2019Q4,3.51,3.36,3.12,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2020Q2,3.53,3.45,3.21,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2019Q3,3.51,3.35,3.2,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2020Q3,3.42,3.3,3.08,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2020Q1,3.53,3.32,3.19,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2022Q2,4.14,4.03,3.63,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2021Q2,3.9,3.48,3.3,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2021Q3,3.81,3.52,3.05,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2021Q4,4.0,3.56,3.37,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2021Q1,3.75,3.47,3.25,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2020Q4,3.27,3.12,2.97,09
KIM SENG WALK,27733.64651,TIARA,30836.64497,2022Q1,3.92,3.68,3.38,09
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2019Q3,3.26,3.12,2.88,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2020Q1,3.02,2.92,2.81,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2019Q4,3.15,3.02,2.96,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2020Q3,2.96,2.8,2.7,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2020Q2,3.03,2.91,2.77,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2020Q4,3.0,2.85,2.81,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2021Q4,3.24,3.11,2.97,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2022Q2,3.79,3.46,2.96,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2021Q2,3.24,2.99,2.82,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2021Q3,3.3,3.02,2.95,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2022Q1,3.35,3.1,2.99,03
INDUS ROAD,27646.91411,EMERALD PARK,30271.27804,2021Q1,3.05,2.92,2.79,03
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2019Q4,2.3,2.16,2.09,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2020Q2,2.18,2.13,2.06,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2019Q3,2.44,2.23,2.12,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2020Q3,2.26,2.16,2.06,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2020Q1,2.25,2.24,2.12,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2021Q2,2.42,2.34,2.2,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2021Q3,2.63,2.36,2.24,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2021Q4,2.55,2.44,2.34,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2022Q2,2.96,2.63,2.35,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2021Q1,2.39,2.29,2.09,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2020Q4,2.36,2.2,2.08,23
CHOA CHU KANG LOOP,18015.81125,THE WARREN,40950.78215,2022Q1,2.81,2.53,2.34,23
LORONG 7 GEYLANG,32748.18177,CENTRA RESIDENCE,32801.6069,2019Q3,4.13,3.97,3.43,14
LORONG 7 GEYLANG,32748.18177,CENTRA RESIDENCE,32801.6069,2020Q3,4.43,4.04,3.81,14
LORONG 7 GEYLANG,32748.18177,CENTRA RESIDENCE,32801.6069,2020Q2,4.84,4.36,4.11,14
LORONG 7 GEYLANG,32748.18177,CENTRA RESIDENCE,32801.6069,2020Q4,4.77,4.2,3.56,14
LORONG 7 GEYLANG,32748.18177,CENTRA RESIDENCE,32801.6069,2022Q2,5.13,4.99,3.86,14
LORONG 7 GEYLANG,32748.18177,CENTRA RESIDENCE,32801.6069,2021Q2,4.72,4.09,2.57,14
LORONG 7 GEYLANG,32748.18177,CENTRA RESIDENCE,32801.6069,2021Q3,5.02,4.32,3.68,14
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2019Q4,5.37,4.58,4.14,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2020Q2,5.28,4.16,3.82,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2019Q3,5.34,4.34,3.95,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2020Q3,5.03,4.2,3.78,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2020Q1,5.57,5.2,4.44,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2021Q2,5.34,4.5,3.95,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2021Q3,5.34,4.63,3.78,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2021Q4,5.69,4.83,3.89,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2022Q2,5.92,4.85,3.61,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2021Q1,5.52,5.18,4.13,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2020Q4,5.34,4.61,3.57,04
WISHART ROAD,25866.07973,THE FORESTA @ MOUNT FABER,28131.53904,2022Q1,5.67,4.92,4.49,04
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2019Q4,3.24,3.06,2.9,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2020Q2,3.62,3.27,2.87,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2020Q3,3.21,2.94,2.74,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2019Q3,3.26,2.86,2.76,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2020Q1,3.34,3.05,2.77,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2022Q2,4.08,3.73,3.14,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2021Q2,3.41,3.24,2.94,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2021Q3,3.55,3.28,2.94,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2021Q4,3.36,3.12,3.03,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2021Q1,3.44,3.14,2.94,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2020Q4,3.35,3.1,3.01,05
WEST COAST ROAD,20709.1618,VARSITY PARK CONDOMINIUM,30787.61437,2022Q1,3.82,3.58,3.23,05
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2019Q3,3.32,2.88,2.6,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2020Q1,3.54,2.79,2.58,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2019Q4,3.51,2.92,2.67,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2020Q3,3.39,2.92,2.56,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2020Q2,3.45,2.77,2.6,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2020Q4,3.51,2.96,2.72,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2021Q4,3.91,3.45,3.05,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2022Q2,4.43,3.72,3.25,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2021Q2,3.69,3.19,2.86,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2021Q3,3.6,3.21,2.92,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2022Q1,3.92,3.42,3.06,18
PASIR RIS GROVE,40436.13263,D'NEST,39020.55467,2021Q1,3.72,3.05,2.79,18
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2019Q4,7.4,6.97,6.33,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2020Q2,7.56,7.13,6.29,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2019Q3,7.14,6.41,6.07,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2020Q1,7.47,6.76,6.33,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2020Q3,7.03,6.41,6.01,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2020Q4,7.17,6.3,5.81,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2021Q3,6.97,6.41,6.02,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2021Q4,7.13,6.44,6.22,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2022Q2,8.01,7.13,6.62,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2021Q2,6.89,6.41,6.06,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2022Q1,7.66,6.97,6.14,09
SCOTTS ROAD,27982.75389,SCOTTS SQUARE,32004.66359,2021Q1,6.64,6.0,5.61,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2019Q3,2.7,2.6,2.15,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2020Q1,2.7,2.64,2.33,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2020Q3,2.62,2.42,2.27,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2020Q2,2.43,2.35,2.17,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2020Q4,2.62,2.36,2.08,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2021Q4,2.61,2.48,2.22,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2022Q2,2.94,2.72,2.38,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2021Q2,2.72,2.53,2.34,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2021Q3,3.04,2.6,2.38,09
CAVENAGH ROAD,28791.95673,CAVENAGH GARDENS,31976.2386,2021Q1,2.75,2.6,2.39,09
FABER WALK,19204.89097,WATERFRONT @ FABER,33932.59625,2020Q3,3.4,3.05,2.73,05
FABER WALK,19204.89097,WATERFRONT @ FABER,33932.59625,2020Q1,3.32,3.19,3.07,05
FABER WALK,19204.89097,WATERFRONT @ FABER,33932.59625,2021Q1,3.06,2.89,2.7,05
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2020Q3,2.85,2.69,2.5,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2019Q3,3.02,2.92,2.69,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2020Q1,3.01,2.8,2.69,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2019Q4,2.85,2.69,2.63,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2020Q2,2.97,2.77,2.64,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2020Q4,2.95,2.71,2.6,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2021Q4,3.25,2.95,2.72,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2022Q2,3.55,3.32,3.12,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2021Q2,3.06,2.82,2.71,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2021Q3,2.91,2.81,2.64,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2021Q1,2.85,2.69,2.6,19
KOVAN ROAD,33590.59803,KOVAN MELODY,38053.88678,2022Q1,3.32,3.1,2.95,19
LENGKONG TIGA,36799.99026,STARVILLE,34528.70179,2020Q2,3.07,2.46,2.22,14
LENGKONG TIGA,36799.99026,STARVILLE,34528.70179,2019Q3,3.68,2.61,2.48,14
LENGKONG TIGA,36799.99026,STARVILLE,34528.70179,2020Q3,3.06,2.36,2.16,14
LENGKONG TIGA,36799.99026,STARVILLE,34528.70179,2020Q1,2.51,2.32,2.12,14
LENGKONG TIGA,36799.99026,STARVILLE,34528.70179,2020Q4,3.32,2.55,2.17,14
LENGKONG TIGA,36799.99026,STARVILLE,34528.70179,2021Q2,3.36,2.46,2.26,14
LENGKONG TIGA,36799.99026,STARVILLE,34528.70179,2021Q3,2.68,2.41,2.26,14
LENGKONG TIGA,36799.99026,STARVILLE,34528.70179,2022Q1,2.88,2.47,2.39,14
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2019Q4,3.42,3.28,3.08,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2020Q2,3.52,3.39,3.22,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2019Q3,3.36,3.19,2.92,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2020Q3,3.49,3.25,3.08,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2020Q1,3.59,3.39,3.12,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2022Q2,4.18,3.73,3.55,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2021Q2,3.72,3.46,3.36,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2021Q3,3.58,3.36,3.12,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2021Q4,3.92,3.47,3.29,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2021Q1,3.72,3.45,3.17,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2020Q4,3.45,3.2,3.02,12
LORONG 3 TOA PAYOH,29503.72365,TREVISTA,35577.77544,2022Q1,4.06,3.89,3.53,12
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2019Q4,6.37,6.06,5.66,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2020Q2,6.09,5.69,5.63,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2020Q3,6.06,5.69,5.37,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2019Q3,6.45,6.07,5.68,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2020Q1,6.36,6.07,5.69,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2021Q2,6.16,5.71,5.56,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2021Q3,6.06,5.67,5.42,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2021Q4,6.13,5.91,5.62,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2022Q2,6.99,6.44,5.99,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2021Q1,5.92,5.55,5.16,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2020Q4,5.73,5.53,5.16,01
MCCALLUM STREET,29565.49115,THE CLIFT,29089.9001,2022Q1,6.32,6.06,5.69,01
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2019Q3,2.89,2.72,2.56,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2020Q1,2.96,2.76,2.58,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2019Q4,2.92,2.7,2.56,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2020Q3,2.93,2.7,2.59,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2020Q2,2.84,2.7,2.57,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2020Q4,3.1,2.92,2.78,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2021Q4,3.12,2.95,2.8,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2022Q2,4.19,3.47,3.09,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2021Q2,3.13,2.79,2.64,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2021Q3,3.2,2.88,2.7,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2022Q1,3.62,3.23,3.0,05
WEST COAST PARK,19174.62805,BOTANNIA,33486.76656,2021Q1,3.21,2.89,2.68,05
